time [ms], in0_2[0], in0_2[1], in1_2[0], in1_2[1], in2_2[0], in2_2[1], in3_2[0], in3_2[1], in4_2[0], in4_2[1], in5_2[0], in5_2[1], in6_2[0], in6_2[1], in7_2[0], in7_2[1], in8_2[0], in8_2[1], in9_2[0], in9_2[1], in10_2[0], in10_2[1], in11_2[0], in11_2[1], in0_5[0], in0_5[1], in1_5[0], in1_5[1], in2_5[0], in2_5[1], in3_5[0], in3_5[1], in4_5[0], in4_5[1], in5_5[0], in5_5[1], in6_5[0], in6_5[1], in7_5[0], in7_5[1], in8_5[0], in8_5[1], in9_5[0], in9_5[1], in10_5[0], in10_5[1], in11_5[0], in11_5[1], in0_1[0], in0_1[1], in1_1[0], in1_1[1], in2_1[0], in2_1[1], in3_1[0], in3_1[1], in4_1[0], in4_1[1], in5_1[0], in5_1[1], in6_1[0], in6_1[1], in7_1[0], in7_1[1], in8_1[0], in8_1[1], in9_1[0], in9_1[1], in10_1[0], in10_1[1], in11_1[0], in11_1[1]
1625210276.059756939, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.157095741, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.258916603, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.360590241, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.461017280, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.563011474, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.663569234, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.763349615, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.865166796, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
1625210276.967275640, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189, 215, 100, 167, 127, 66, 102, 211, 63, 148, 170, 74, 85, 57, 213, 165, 42, 5, 229, 169, 231, 111, 255, 37, 189
